j,State/Region,ApprovedForBoth,Quantity (g),Calories (kcal),Protein (g),Carbs (g),Fat (g),Veg/Non-Veg,Meal Type,Ingredients
Moong dal dosa ,State/Region,yes,1 piece (100g),150,6,25,4,Veg,Breakfast,"Green moong dal, rice, ginger, green chilies, oil"
Rava Idli,Andhra Pradesh,,2 pieces (100g),70,3,15,1,Veg,Breakfast,"Semolina, yogurt, curry leaves, mustard seeds"
Appam with Stew,Andhra Pradesh,,1 piece (40g),80,2,18,1,Veg,Breakfast,"Rice flour, coconut milk, yeast, vegetables (potato, carrot), coconut oil"
Idiyappam,Andhra Pradesh,,1 plate (100g),110,3,24,1,Veg,Breakfast,"Rice flour, water, salt, grated coconut"
Puttu & Kadala Curry,Andhra Pradesh,,1 Puttu (150g)  + 1 medium Bowl Kadala Curry,400,12,66,10,Veg,Breakfast,"Rice flour, grated coconut, black chickpeas, coconut milk, spices"
Idli + Coconut Chutney,Andhra Pradesh,yes,4 pieces + 50g,280,10,50,5,Veg,Breakfast,"Steamed rice cakes, coconut, lentils"
Masala Dosa + Sambhar + Chutney,Andhra Pradesh,yes,1 large dosa + 1 small bowl + 2 tbsp,439,12.5,64,15,Veg,Breakfast,"Rice, urad dal, potatoes, mustard seeds, lentils, vegetables, coconut chutney"
Idli Sambhar + Chutney,Andhra Pradesh,yes,230g (4 pieces + 1 small bowl + 2 tbsp),245,9,44,6,Veg,Breakfast,"Rice, urad dal, lentils, vegetables, tamarind, coconut, mint chutney"
Punugulu,Andhra Pradesh,,6 pieces (100g),250,6,30,10,Veg,Snack,"Fermented rice/urad dal batter, oil, spices"
Gobi Paratha + Dahi + Achaar,Delhi,,2 parathas + 1 small bowl + 1 tbsp,425,13,54,17,Veg,Breakfast,"Wheat flour, cauliflower, onions, green chilies, yogurt, pickle"
Mooli Paratha + Dahi + Pickle,Delhi,,2 parathas + 1 small bowl + 1 tbsp,415,12,52,16,Veg,Breakfast,"Wheat flour, radish, green chilies, coriander, ghee, yogurt, pickle"
Paneer Paratha + Dahi + Pickle,Delhi,,2 parathas + 1 small bowl + 1 tbsp,475,17,50,22,Veg,Breakfast,"Wheat flour, paneer, onions, green chilies, coriander, ghee, yogurt, pickle"
Keema Paratha + Dahi + Pickle,Delhi,,2 parathas + 1 small bowl + 1 tbsp,565,25,48,28,Non-Veg,Breakfast,"Wheat flour, minced mutton, onions, green chilies, spices, ghee, yogurt, pickle"
Aloo Paratha + Curd,Delhi,,2 parathas + 100g,450,12,70,15,Veg,Breakfast,"Whole wheat, potatoes, spices, yogurt"
Egg Bhurji + Roti + Salad,Delhi,,1 plate (200g),320,18,32,15,Eggetarian,Breakfast/Lunch,"Eggs, onion, tomato, whole wheat roti, cucumb"
Keema + Paratha + Pickle,Delhi,,1 medium bowl + 2 parathas + 1 tbsp,665,33,43,42,Non-Veg,Lunch/Dinner,"Minced mutton/chicken, onions, tomatoes, spices, wheat flour, ghee, pickle"
Chicken Tikka Masala + Rice + Roti,Delhi,,1 medium bowl + 1 large plate + 1 roti,715,38,84,28,Non-Veg,Lunch/Dinner,"Chicken tikka, tomatoes, cream, onions, garlic, ginger, spices, rice, wheat flour"
Palak Paneer + Roti + Dal,Delhi,,380g (1 medium bowl + 2 rotis + 1 small bowl,580,29,67,24,Veg,Lunch/Dinner,"Spinach, paneer, onions, tomatoes, garlic, ginger, cream, wheat flour, lentils"
Kadhi Pakora + Rice + Pickle,Delhi,,1 medium bowl + 1 large plate + 1 tbsp,610,16,88,21,Veg,Lunch/Dinner,"Gram flour, yogurt, onions, green chilies, ginger, turmeric, cumin, rice, pickle"
Aloo Gobi + Roti + Dal,Delhi,,1 medium bowl + 2 rotis + 1 small bowl,480,18,89,14,Veg,Lunch/Dinner,"Potatoes, cauliflower, onions, tomatoes, turmeric, cumin, wheat flour, lentils"
Rajma Chawal + Papad + Pickle,Delhi,,1 medium bowl + 1 large plate + 2 pieces + 1 tbsp,450,16,66,16,Veg,Lunch/Dinner,"Kidney beans, rice, onions, tomatoes, spices, papad, pickle"
Dal Makhani + Jeera Rice + Roti,Delhi,,1 medium bowl + 1 large plate + 2 rotis,695,28,98,25,Veg,Lunch/Dinner,"Black lentils, kidney beans, butter, cream, tomatoes, basmati rice, cumin, wheat flour, ghee"
Veg Biryani + Raita + Papad,Delhi,,1 large plate + 1 small bowl + 2 pieces,485,14,78,14,Veg,Lunch/Dinner,"Basmati rice, mixed vegetables, yogurt, saffron, onions, ghee, spices, papad"
Chana Masala + Rice + Roti,Delhi,,1 medium bowl + 1 large plate + 1 roti,540,20,96,12,Veg,Lunch/Dinner,"Chickpeas, onions, tomatoes, spices, rice, wheat flour"
